Name,Position,General,Defending,Mental,Passing,Mobility,Power,Rating,Shooting,Flag,Age,Nationality,Photo,Club_Logo,Club,media_puntaje
Bruno Fernandes,CAM,80,46,82,89,80,78,88,88,https://cdn.sofifa.com/flags/pt.png,26,Portugal,https://cdn.sofifa.com/players/212/198/22_60.png,https://cdn.sofifa.com/teams/11/30.png,Manchester United,78.875
L. Goretzka,LDM,83,54,84,82,81,82,88,76,https://cdn.sofifa.com/flags/de.png,26,Germany,https://cdn.sofifa.com/players/209/658/22_60.png,https://cdn.sofifa.com/teams/21/30.png,FC Bayern München,78.75
L. Suárez,RS,85,28,78,80,78,78,88,88,https://cdn.sofifa.com/flags/uy.png,34,Uruguay,https://cdn.sofifa.com/players/176/580/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,75.375
K. De Bruyne,RCM,80,39,83,94,80,76,91,85,https://cdn.sofifa.com/flags/be.png,30,Belgium,https://cdn.sofifa.com/players/192/985/22_60.png,https://cdn.sofifa.com/teams/10/30.png,Manchester City,78.5
M. Acuña,LB,80,55,83,82,80,81,84,75,https://cdn.sofifa.com/flags/ar.png,29,Argentina,https://cdn.sofifa.com/players/224/334/22_60.png,https://cdn.sofifa.com/teams/481/30.png,Sevilla FC,77.5
J. Kimmich,RDM,81,55,85,89,78,81,90,67,https://cdn.sofifa.com/flags/de.png,26,Germany,https://cdn.sofifa.com/players/212/622/22_60.png,https://cdn.sofifa.com/teams/21/30.png,FC Bayern München,78.25
Paulinho,LCM,79,51,81,75,74,88,83,78,https://cdn.sofifa.com/flags/br.png,32,Brazil,https://cdn.sofifa.com/players/187/961/22_60.png,https://cdn.sofifa.com/teams/112387/30.png,Al Ahli,76.125
G. Wijnaldum,SUB,82,50,80,80,81,84,84,74,https://cdn.sofifa.com/flags/nl.png,30,Netherlands,https://cdn.sofifa.com/players/181/291/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,76.875
E. Can,SUB,80,58,81,78,77,84,82,73,https://cdn.sofifa.com/flags/de.png,27,Germany,https://cdn.sofifa.com/players/208/333/22_60.png,https://cdn.sofifa.com/teams/22/30.png,Borussia Dortmund,76.625
A. Griezmann,LS,86,34,77,83,85,80,85,83,https://cdn.sofifa.com/flags/fr.png,30,France,https://cdn.sofifa.com/players/194/765/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,76.625
L. Modrić,RCM,79,49,80,89,81,75,87,78,https://cdn.sofifa.com/flags/hr.png,35,Croatia,https://cdn.sofifa.com/players/177/003/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,77.25
Marcos Llorente,RM,76,51,84,81,86,77,88,72,https://cdn.sofifa.com/flags/es.png,26,Spain,https://cdn.sofifa.com/players/226/161/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,76.875
Sergio Ramos,LCB,78,60,82,77,77,80,88,74,https://cdn.sofifa.com/flags/es.png,35,Spain,https://cdn.sofifa.com/players/155/862/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,77.0
D. Alaba,LB,78,55,79,82,80,77,84,75,https://cdn.sofifa.com/flags/at.png,29,Austria,https://cdn.sofifa.com/players/197/445/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,76.25
Merino,RCM,82,53,81,81,77,79,85,71,https://cdn.sofifa.com/flags/es.png,25,Spain,https://cdn.sofifa.com/players/225/193/22_60.png,https://cdn.sofifa.com/teams/457/30.png,Real Sociedad,76.125
N. Barella,RCM,74,51,83,78,84,83,86,71,https://cdn.sofifa.com/flags/it.png,24,Italy,https://cdn.sofifa.com/players/224/232/22_60.png,https://cdn.sofifa.com/teams/44/30.png,Inter,76.25
Alex Telles,SUB,78,51,77,83,80,75,82,76,https://cdn.sofifa.com/flags/br.png,28,Brazil,https://cdn.sofifa.com/players/212/462/22_60.png,https://cdn.sofifa.com/teams/11/30.png,Manchester United,75.25
F. de Jong,RCM,83,51,82,85,84,80,90,64,https://cdn.sofifa.com/flags/nl.png,24,Netherlands,https://cdn.sofifa.com/players/228/702/22_60.png,https://cdn.sofifa.com/teams/241/30.png,FC Barcelona,77.375
M. Sabitzer,SUB,74,43,78,80,79,78,84,82,https://cdn.sofifa.com/flags/at.png,27,Austria,https://cdn.sofifa.com/players/204/923/22_60.png,https://cdn.sofifa.com/teams/21/30.png,FC Bayern München,74.75
J. Cuadrado,RM,80,54,74,78,89,76,83,73,https://cdn.sofifa.com/flags/co.png,33,Colombia,https://cdn.sofifa.com/players/193/082/22_60.png,https://cdn.sofifa.com/teams/45/30.png,Juventus,75.875
Koke,RCM,77,50,83,85,76,77,85,72,https://cdn.sofifa.com/flags/es.png,29,Spain,https://cdn.sofifa.com/players/193/747/22_60.png,https://cdn.sofifa.com/teams/240/30.png,Atlético de Madrid,75.625
João Cancelo,LB,82,54,80,83,84,76,86,67,https://cdn.sofifa.com/flags/pt.png,27,Portugal,https://cdn.sofifa.com/players/210/514/22_60.png,https://cdn.sofifa.com/teams/10/30.png,Manchester City,76.5
L. Digne,LB,79,56,77,81,79,82,84,72,https://cdn.sofifa.com/flags/fr.png,27,France,https://cdn.sofifa.com/players/200/458/22_60.png,https://cdn.sofifa.com/teams/7/30.png,Everton,76.25
F. Kostić,LM,76,47,77,82,84,78,84,75,https://cdn.sofifa.com/flags/rs.png,28,Serbia,https://cdn.sofifa.com/players/208/574/22_60.png,https://cdn.sofifa.com/teams/1824/30.png,Eintracht Frankfurt,75.375
T. Alexander-Arnold,RB,80,54,80,89,78,72,90,70,https://cdn.sofifa.com/flags/gb-eng.png,22,England,https://cdn.sofifa.com/players/231/281/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,76.625
S. Milinković-Savić,RCM,84,51,80,78,70,82,86,75,https://cdn.sofifa.com/flags/rs.png,26,Serbia,https://cdn.sofifa.com/players/223/848/22_60.png,https://cdn.sofifa.com/teams/46/30.png,Lazio,75.75
A. Vidal,SUB,79,56,82,79,73,79,81,78,https://cdn.sofifa.com/flags/cl.png,34,Chile,https://cdn.sofifa.com/players/181/872/22_60.png,https://cdn.sofifa.com/teams/44/30.png,Inter,75.875
P. Pogba,RDM,84,43,80,86,74,79,87,83,https://cdn.sofifa.com/flags/fr.png,28,France,https://cdn.sofifa.com/players/195/864/22_60.png,https://cdn.sofifa.com/teams/11/30.png,Manchester United,77.0
Casemiro,CDM,72,58,83,75,69,83,89,72,https://cdn.sofifa.com/flags/br.png,29,Brazil,https://cdn.sofifa.com/players/200/145/22_60.png,https://cdn.sofifa.com/teams/243/30.png,Real Madrid CF,75.125
L. Messi,RW,89,20,74,89,89,76,93,89,https://cdn.sofifa.com/flags/ar.png,34,Argentina,https://cdn.sofifa.com/players/158/023/22_60.png,https://cdn.sofifa.com/teams/73/30.png,Paris Saint-Germain,77.375
Renato Sanches,LCM,74,46,79,77,84,86,83,73,https://cdn.sofifa.com/flags/pt.png,23,Portugal,https://cdn.sofifa.com/players/230/767/22_60.png,https://cdn.sofifa.com/teams/65/30.png,LOSC Lille,75.25
L. Ocampos,LW,82,39,80,77,82,78,83,79,https://cdn.sofifa.com/flags/ar.png,26,Argentina,https://cdn.sofifa.com/players/205/632/22_60.png,https://cdn.sofifa.com/teams/481/30.png,Sevilla FC,75.0
Jordi Alba,LB,79,53,79,83,86,78,86,64,https://cdn.sofifa.com/flags/es.png,32,Spain,https://cdn.sofifa.com/players/189/332/22_60.png,https://cdn.sofifa.com/teams/241/30.png,FC Barcelona,76.0
R. Lewandowski,ST,86,20,79,75,82,82,92,89,https://cdn.sofifa.com/flags/pl.png,32,Poland,https://cdn.sofifa.com/players/188/545/22_60.png,https://cdn.sofifa.com/teams/21/30.png,FC Bayern München,75.625
M. Salah,RW,80,28,76,79,91,80,89,82,https://cdn.sofifa.com/flags/eg.png,29,Egypt,https://cdn.sofifa.com/players/209/331/22_60.png,https://cdn.sofifa.com/teams/9/30.png,Liverpool,75.625
